,imdb_id,script_id,title,year,gross (inflation-adjusted),link,texts
0,tt0019777,4031,The Cocoanuts,1929,,"http://www.pages.drexel.edu/~ina22/splaylib/Screenplay-Cocoanuts,_The.pdf",lol
1,tt0021884,8521,Frankenstein,1931,298.0,Frankenstein (Florey & Fort) [1931-5-23] [Scan].pdf,lol
2,tt0022054,1086,The Last Flight,1931,,"film_20100519/all_imsdb_05_19_10/Last-Flight,-The.html",lol
3,tt0022626,1631,American Madness,1932,,http://www.imsdb.com/Movie Scripts/American Madness Script.html,"




American Madness Script at IMSDb.



















The Internet Movie Script Database (IMSDb)





 

The web's largest movie script resource!











Search IMSDb













Alphabetical

#
A
B
C
D
E
F
G
H


I
J
K
L
M
N
O
P
Q


R
S
T
U
V
W
X
Y
Z





Genre

Action
Adventure
Animation
Comedy
Crime
Drama 
Family
Fantasy
Film-Noir
Horror
Musical
Mystery
Romance
Sci-Fi
Short
Thriller
War
Western




TV Transcripts

Futurama
Seinfeld
South Park
Stargate SG-1
Lost
The 4400




Sponsor






International

French scripts




Latest Comments

Predator9/10
Master and Commander2/10
White Christmas8/10
Fantastic Beasts: The Crimes of Grindelwald10/10
Legend10/10


ALL SCRIPTS





American Madness Script




IMSDb opinion  None available
IMSDb rating  Not available
Average user rating  None available





Writers  Robert Riskin
Genres  Drama
Movie Release Date : August 1932

Read ""American Madness"" Script






User Comments for American Madness





Add your own comment







*"
4,tt0022958,2438,Grand Hotel,1932,,http://www.imsdb.com/Movie Scripts/Grand Hotel Script.html,"




Grand Hotel Script at IMSDb.



















The Internet Movie Script Database (IMSDb)





 

The web's largest movie script resource!











Search IMSDb













Alphabetical

#
A
B
C
D
E
F
G
H


I
J
K
L
M
N
O
P
Q


R
S
T
U
V
W
X
Y
Z





Genre

Action
Adventure
Animation
Comedy
Crime
Drama 
Family
Fantasy
Film-Noir
Horror
Musical
Mystery
Romance
Sci-Fi
Short
Thriller
War
Western




TV Transcripts

Futurama
Seinfeld
South Park
Stargate SG-1
Lost
The 4400




Sponsor






International

French scripts




Latest Comments

Predator9/10
Master and Commander2/10
White Christmas8/10
Fantastic Beasts: The Crimes of Grindelwald10/10
Legend10/10


ALL SCRIPTS





Grand Hotel Script




IMSDb opinion  None available
IMSDb rating  Not available
Average user rating  None available





Writers  Bela Balazs
Genres  Drama  Romance
Movie Release Date : April 1932

Read ""Grand Hotel"" Script






User Comments for Grand Hotel





Add your own comment







*Name: 
  
E-ma"
5,tt0023622,5154,Trouble in Paradise,1932,,http://www.aellea.com/emruf3/tip.html,"


Trouble in Paradise


Trouble in Paradise
 
			SEQUENCE A 

FADE IN  NIGHT
  
MED. SHOT   DOOR OF A HOUSE   
A cheap residential district. The house has no architectural 
character; it is not certain where we are. Near the entrance 
door is a garbage can, full.

A dog is nibbling at some of the garbage. We hear whistling, 
footsteps. A garbage man comes into the picture. He shoos 
the dog away. Without pause in whistling, he lifts the 
garbage can and, followed by camera, goes to the end of the 
block, which is only a few steps. Now we discover we are in 
Venice. In the background is a major canal and a typical 
bridge--romantic background. Gondolas are passing. In the 
foreground at the sidewalk is the garbage gondola, piled 
high with garbage. The man dumps his load, leaves the empty 
can on the sidewalk, gets in the gondola, and paddles away 
with the grace of a gondolier. Now, in a beautiful tenor 
voice which is quite a contrast to the garbage, he starts 
singing a passionate I"
6,tt0023686,5217,What Price Hollywood?,1932,,http://www.aellea.com/scripts/WHAT.pdf,"
403 Forbidden

Forbidden
You don't have permission to access this resource.Server unable to read htaccess file, denying access to be safe

"
7,tt0023969,873,Duck Soup,1933,,film_20100519/all_imsdb_05_19_10/Duck-Soup.html,lol
8,tt0024216,8174,King Kong,1933,,King Kong - 1933 Orig. (Includes End Notes) (Digital).pdf,lol
9,tt0024368,4677,Mystery of the Wax Museum,1933,,http://www.aellea.com/script/qWAX.htm,"
403 Forbidden

Forbidden
You don't have permission to access this resource.Server unable to read htaccess file, denying access to be safe

"
10,tt0025878,5115,The Thin Man,1934,,http://www.dailyscript.com/scripts/thethinman.html,"


THE THIN MAN by Playback by Frances Goodrich and Albert Hackett based on the novel by Dashiell Hammett










                                    THE THIN MAN

                                   Screenplay by

                         Frances Goodrich and Albert Hackett


                       Based on the novel by Dashiell Hammett
























                                                  Shooting Draft, 1935

               Property of M.G.M   




               FADE IN:

               EFFECT SHOT:  THE SHADOW OF THE THIN MAN!

               The shadow, grotesquely thin, is cast by one strong light 
               which reflects itself against a white cement wall.  When 
               we first see the shad-ow, it is standing upright, examining 
               some- thing which it holds in its hands.  Now the shadow 
               bends down and as it does so, CAMERA PULLS BACK TO REVEAL 
             "
11,tt0025905,5147,Transatlantic Merry-Go-Round,1934,,http://www.aellea.com/emruf3/tm.html,"Transatlantic Merry-Go-Round



Transatlantic Merry-Go-Round 
1               CREDIT TITLES reach the screen--superimposed 
                on a background of steaming funnels belching 
                steam--accompanied by a musical score of ex-
                citing tempo.

                                        DISSOLVE TO:

2               LONG SHOT--NIGHT
                Large ocean liner, plowing through darkened 
                waters, its decks and portholes brilliantly 
                illuminated.

                                        CUT TO: 

3               QUICK FLASH--MEDIUM SHOT--PROW OF SHIP 
                Coming straight onto the CAMERA. The speed at
                which she is traveling throws a phosphorescent 
                spray many feet into the air--almost up to the 
                bowsprit, under which is carved, in ornate letters, 
                S. S. Progress.

                                        DISSOLVE TO: 

4               LONG SHOT
    "
12,tt0027996,2954,Mr. Deeds Goes to Town,1936,,http://www.imsdb.com/Movie Scripts/Mr Deeds Goes to Town Script.html,"




Mr Deeds Goes to Town Script at IMSDb.



















The Internet Movie Script Database (IMSDb)





 

The web's largest movie script resource!











Search IMSDb













Alphabetical

#
A
B
C
D
E
F
G
H


I
J
K
L
M
N
O
P
Q


R
S
T
U
V
W
X
Y
Z





Genre

Action
Adventure
Animation
Comedy
Crime
Drama 
Family
Fantasy
Film-Noir
Horror
Musical
Mystery
Romance
Sci-Fi
Short
Thriller
War
Western




TV Transcripts

Futurama
Seinfeld
South Park
Stargate SG-1
Lost
The 4400




Sponsor






International

French scripts




Latest Comments

Predator9/10
Master and Commander2/10
White Christmas8/10
Fantastic Beasts: The Crimes of Grindelwald10/10
Legend10/10


ALL SCRIPTS





Mr Deeds Goes to Town Script




IMSDb opinion  None available
IMSDb rating  Not available
Average user rating  None available





Writers  Clarence Budington Kelland  Robert Riskin
Genres  Comedy
Script Date : December 1935
Movie Release Date : April 1936

Read ""Mr Deeds Goes to Town"" Script




"
